param_Boost__n_estimators,train acc,test acc
1,0.8194400149766936,0.7848741293147616
2,0.8194400149766936,0.7848741293147616
5,0.9030356913391469,0.8561877593506682
10,0.9551291716647589,0.8998047298249553
20,0.9837085957735718,0.9260980511325617
30,0.9889804374219079,0.9408923581475178
40,0.9906190075370589,0.9436379978717331
50,0.9909481267274153,0.9448632843143298
60,0.991317916710569,0.9458453591700077
70,0.9913853624323117,0.944049638232056
80,0.9913853624323117,0.944049638232056
90,0.9913853624323117,0.944049638232056
100,0.9913853624323117,0.944049638232056
