,0,1,2,3,4
0.001,0.49999999999999983,0.49999999999999994,0.5000000000000001,0.5,0.5000000000000001
0.101,1.0,1.0,0.9966485796361316,1.0,0.9995544995544996
0.201,1.0,1.0,0.9990424513246091,1.0,0.9995544995544996
0.30100000000000005,1.0,1.0,0.9995212256623046,1.0,0.9995544995544996
0.401,1.0,1.0,0.9998404085541016,1.0,1.0
0.501,1.0,1.0,1.0,1.0,1.0
0.6010000000000001,1.0,1.0,1.0,1.0,1.0
0.7010000000000001,1.0,1.0,1.0,1.0,1.0
0.801,1.0,1.0,1.0,1.0,1.0
0.901,1.0,1.0,1.0,1.0,1.0
1.001,1.0,1.0,1.0,1.0,1.0
1.101,1.0,1.0,1.0,1.0,1.0
1.201,1.0,1.0,1.0,1.0,1.0
1.301,1.0,1.0,1.0,1.0,1.0
1.401,1.0,1.0,1.0,1.0,1.0
1.501,1.0,1.0,1.0,1.0,1.0
1.601,1.0,1.0,1.0,1.0,1.0
1.701,1.0,1.0,1.0,1.0,1.0
1.801,1.0,1.0,1.0,1.0,1.0
1.901,1.0,1.0,1.0,1.0,1.0
2.001,1.0,1.0,1.0,1.0,1.0
2.101,1.0,1.0,1.0,1.0,1.0
2.201,1.0,1.0,1.0,1.0,1.0
2.301,1.0,1.0,1.0,1.0,1.0
2.4010000000000002,1.0,1.0,1.0,1.0,1.0
