param_SVM__max_iter,train acc,test acc
1,0.08760891211393768,0.08763609156918377
2,0.09812899295168338,0.09595678583020353
4,0.10801678298829685,0.10860482562996243
8,0.12277377514621234,0.12493949132752527
16,0.22723896178352637,0.22258572770777912
32,0.48377334634728786,0.47201612464836873
64,0.7760800804114674,0.7607599130655894
128,0.9619602609084227,0.9468614676054713
256,0.9670570819502903,0.9575252552727082
512,0.967250231641779,0.9567765816528664
1024,0.967250231641779,0.9567765816528664
2048,0.967250231641779,0.9567765816528664
