param_SVM__max_iter,train acc,test acc
1,0.0627733285855372,0.0629070490912596
2,0.05879367930662896,0.0570277341705913
4,0.09818190483473248,0.09592190212814619
8,0.18751231852210162,0.17534894677862156
16,0.33683961764631315,0.32670218561569275
32,0.6291100853654029,0.6115815293829281
64,0.8682150210036234,0.8556231682539034
128,0.9677920459607526,0.9575168762129346
256,0.9729675918703062,0.9622750932847117
512,0.972834345253731,0.9628075843958714
1024,0.9727744363153175,0.9628075843958714
2048,0.9727744363153175,0.9628075843958714
