param_Boost__n_estimators,train acc,test acc
1,0.9347348074841502,0.9224206878165823
2,0.9347348074841502,0.9224206878165823
5,0.952563785371888,0.9446073639622027
10,0.9520828823256532,0.9412378921176575
20,0.9631683933817845,0.9531532332118842
30,0.967496520797897,0.948672946473533
40,0.9703587443946187,0.9518424716371929
50,0.9718926859440233,0.9551452945881098
60,0.9716514612648832,0.9537678841197903
70,0.9722205040977269,0.9514944163038005
80,0.9727895469305706,0.9496356527148316
90,0.9724617287768672,0.9514944163038005
100,0.9724617287768672,0.9514944163038005
