,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.10192732810974121,0.004477892238530384,0.0007986068725585937,0.00039930505913950625,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",0.5,0.4999999999999999,0.5,0.4999999999999999,0.5,0.5,7.021666937153402e-17,242,0.5,0.5,0.5,0.4999999999999999,0.5,0.5,4.965068306494546e-17
1,0.10272507667541504,0.007978546629238232,0.0009975433349609375,1.5078914929239175e-07,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 3}",0.5,0.4999999999999999,0.5,0.4999999999999999,0.5,0.5,7.021666937153402e-17,242,0.5,0.5,0.5,0.4999999999999999,0.5,0.5,4.965068306494546e-17
2,0.10093002319335938,0.002631259116516561,0.000997447967529297,2.431401974483864e-07,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 4}",0.5,0.4999999999999999,0.5,0.4999999999999999,0.5,0.5,7.021666937153402e-17,242,0.5,0.5,0.5,0.4999999999999999,0.5,0.5,4.965068306494546e-17
3,0.10252594947814941,0.007658620982656031,0.0009974002838134765,1.1680077279964342e-07,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",0.5,0.4999999999999999,0.5,0.4999999999999999,0.5,0.5,7.021666937153402e-17,242,0.5,0.5,0.5,0.4999999999999999,0.5,0.5,4.965068306494546e-17
4,0.10870909690856934,0.0014103347100597266,0.0011969566345214843,0.00039882662762642264,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 6}",0.5,0.4999999999999999,0.5,0.4999999999999999,0.5,0.5,7.021666937153402e-17,242,0.5,0.5,0.5,0.4999999999999999,0.5,0.5,4.965068306494546e-17
5,0.10232634544372558,0.0010172424931818422,0.0009976863861083985,4.90933901833868e-07,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 7}",0.5,0.4999999999999999,0.5,0.4999999999999999,0.5,0.5,7.021666937153402e-17,242,0.5,0.5,0.5,0.4999999999999999,0.5,0.5,4.965068306494546e-17
6,0.10950698852539062,0.003051075965735397,0.0009976863861083985,0.0006312034617891273,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 8}",0.5,0.4999999999999999,0.5,0.4999999999999999,0.5,0.5,7.021666937153402e-17,242,0.5,0.5,0.5,0.4999999999999999,0.5,0.5,4.965068306494546e-17
7,0.16456027030944825,0.11006738932353914,0.0011971473693847656,0.00039920815428192054,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 9}",0.5,0.4999999999999999,0.8606400161518273,0.4999999999999999,0.5,0.5721280032303655,0.14425600646073092,171,0.5,0.5,0.8840022973778966,0.4999999999999999,0.5,0.5768004594755793,0.15360091895115865
8,0.38576817512512207,0.021132317218344344,0.000997781753540039,3.371747880871523e-07,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",0.9064180276698149,0.8741469816272964,0.8571168988491823,0.8757015949929334,0.9059896625114016,0.8838747661627836,0.019363424113335557,79,0.8852548313755211,0.882846981377985,0.8743002937992888,0.8790783980207205,0.8922666547286972,0.8827494318604424,0.0060287394568247655
9,0.47552876472473143,0.06108435249603768,0.0010109424591064453,0.0006523721268206931,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}",0.8996214028233682,0.8849485160508781,0.8854532606501111,0.8947001817080554,0.8767203810682072,0.8882958605786817,0.008031826242967822,75,0.8838133131236581,0.9039033334069673,0.9059245841525105,0.8925489849565926,0.8794184149066568,0.8931217261092771,0.010534814214322626
