,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.7178797721862793,0.19336378648025132,0.0025931835174560548,0.0004884414019054081,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.9038934964984819,0.882854926299459,0.8771745763256233,0.8805498466888769,0.8375196458537013,0.876403403060583,0.021573707353595595,125,0.8688493917536239,0.890406630375568,0.8596610533692597,0.8722959388660235,0.8892888975296381,0.8761003823788226,0.011965850219697122
1,0.5066450119018555,0.1104053077802467,0.0025931358337402343,0.0004885971129893826,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.8786192355782191,0.8978172573999963,0.8935691918984058,0.8884438485429661,0.849132586439601,0.8815172626098198,0.017411673839571096,112,0.846465205795451,0.8973371042063019,0.8776282046404024,0.8794019806752371,0.8984378455229652,0.8798540681680714,0.0188201398080519
2,0.570075511932373,0.09328688288739966,0.0019945144653320313,4.90933901833868e-07,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.9280524958987576,0.9075428857131659,0.9043153853231746,0.888012434345428,0.8723207489683508,0.9000538588163273,0.018828249083671228,65,0.89342392606208,0.9108914355359318,0.8908188541377626,0.9076701873071725,0.9119591346153842,0.9029527075316663,0.008993573495026618
3,0.7107000350952148,0.18701344175089366,0.0025918006896972655,0.00048741664557735406,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.9214088299907869,0.9126558981688087,0.9207507338845736,0.9064836111209595,0.8695507649137971,0.9061729180991267,0.0191191931106156,30,0.8872878417933567,0.9077774959921378,0.916791983241507,0.9216310869492512,0.9063218562427205,0.9079620528437946,0.011789465406745954
4,0.5956069469451905,0.1167045229137239,0.0029920101165771484,1.9073486328125e-07,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",0.905191603437133,0.9158427224649358,0.9120823903158172,0.9010528873495387,0.8557082995433728,0.897978158782079,0.02175271470502198,70,0.8763293742980184,0.9064291850592832,0.90879886797074,0.9192174796630483,0.8995271997710679,0.9020604213524317,0.01433430432999602
5,0.5720645904541015,0.10656482367742884,0.0027924537658691405,0.00039892199505124864,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",0.9330036390780999,0.9114016021731114,0.9259882443138269,0.8884438485429661,0.8721057390106359,0.9061933115455397,0.022867985438313348,29,0.9042655314631582,0.9077803918638796,0.9223681730852534,0.8980505356069209,0.9032893737204113,0.9071508011479248,0.008222104706182986
6,0.5196102142333985,0.07877039464387219,0.0027924060821533205,0.00039889816388262293,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 8}",0.9262123598410941,0.8978172573999962,0.906267231629586,0.9008368305983481,0.8748620291274245,0.9012028649434216,0.016472629333758603,60,0.8916995463071562,0.9004523236183173,0.9126539221371414,0.9194885267739439,0.9082619857008585,0.9065112609074835,0.009646806353699395
7,0.3514603614807129,0.09471344637724403,0.0019945621490478514,1.2100770512055894e-06,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",0.8934198779045914,0.8684620644859814,0.8794736257824325,0.855922521992662,0.8345796988721613,0.8663760427330824,0.02013777926034595,140,0.863545160593463,0.87669137136484,0.8655890064825871,0.8481489949152581,0.882060095692406,0.8672069258097108,0.01174565690353801
8,0.3063805103302002,0.07760895954386694,0.0019945621490478514,0.0006306002295521237,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 3}",0.9139543141200138,0.8716444478676606,0.8935691918984058,0.8911209593105713,0.8564095648656073,0.8853431705477383,0.019721658295877412,100,0.8800462929629841,0.8848384754171716,0.8690116787522304,0.8855392543660014,0.8973583478763294,0.8833588098749434,0.009162355071618106
9,0.2870319366455078,0.03774832647280677,0.0019946575164794924,3.504023183989303e-07,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 4}",0.9084305104186575,0.879826512124825,0.8884438485429661,0.8776048807238843,0.8466777313569526,0.8802011743987078,0.01997847703736557,114,0.8693369666122314,0.8857814998905056,0.8778068097736575,0.8815133082263236,0.8949128818358312,0.8818702932677098,0.008475025277633417
10,0.5084401607513428,0.0630723947722464,0.001994895935058594,8.44957597096889e-07,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 5}",0.9287054409005626,0.9034599142087605,0.9017016798795969,0.8884438485429661,0.8615875965012109,0.8967853259322253,0.021892154335557367,78,0.8870721154403776,0.9044806869709208,0.8895917646529198,0.8965168474273064,0.9013306572548836,0.8957984143492815,0.006650932395259133
11,0.30318918228149416,0.07799351986704048,0.001994800567626953,1.784161275279017e-07,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 6}",0.9257771198984983,0.8752443518666901,0.8935691918984058,0.8913369525065563,0.8375196458537013,0.8846952578193975,0.02872570663352226,104,0.8875815564929541,0.8832436933002158,0.8880376479892356,0.8818139150258136,0.8890309858752414,0.8859415597366922,0.0028615961754538616
12,0.49507570266723633,0.07013873053599849,0.0019946575164794924,9.536743164062499e-08,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 7}",0.9311869720863845,0.9036758943401264,0.8988592213379512,0.8935691918984058,0.8801190424051197,0.9014869816905189,0.016813290848562944,59,0.8955728810144393,0.8966121481887797,0.9026913629157729,0.905078720807639,0.9083161383470596,0.9016542502547381,0.004890586862011006
13,0.3925502777099609,0.06561736760669792,0.001994800567626953,3.8146972656249997e-07,0.1,"(50,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 8}",0.9311869720863845,0.8934183624203922,0.9017016798795969,0.8957885863840204,0.8437814458469434,0.8931814969734213,0.028158236491284416,87,0.8974987836300067,0.8967743241986907,0.905078720807639,0.9062136096264662,0.8975543618975755,0.9006239600320758,0.004125480152821603
14,0.30259003639221194,0.06632800844134377,0.001795339584350586,0.00039901741945947783,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 2}",0.9056172280718469,0.8991863963159453,0.8914147821610091,0.895357044058699,0.8370947086688161,0.8857382798403283,0.02476537067627869,96,0.8711322770167926,0.904974360710946,0.8799534508375313,0.8889758370595656,0.8937403374448685,0.8877552526139407,0.011584473912443499
15,0.24354853630065917,0.02264984295510384,0.001595926284790039,0.0004886750034333907,0.1,"(25,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 3}",0.90019484736956,0.8998039836646176,0.8857537800650762,0.8982110844749355,0.8727162114977213,0.891338071591119,0.010726265781934387,89,0.8696007608071626,0.9007418641126298,0.878937054724465,0.8983023375451894,0.9063707025376181,0.8907905439454129,0.01405495837113414
16,0.2567114353179932,0.08776576834974967,0.001994943618774414,0.0006305248521073232,0.1,"(25,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 4}",0.8967045673540177,0.8811178398752681,0.9014853119155039,0.8911209593105713,0.8387970499038705,0.8818474598111796,0.022564633755014014,111,0.8881671777660978,0.8812856246559331,0.8863478659439082,0.8920966935725857,0.8926910537709576,0.8881176831418965,0.004160768407542932
17,0.35784292221069336,0.0995949462653962,0.001994419097900391,5.917393515582492e-07,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 5}",0.8927134338488385,0.8854308500291792,0.8990754748697277,0.8909050707703131,0.8060245065447526,0.874833568371254,0.03467420473260197,129,0.8603021112103852,0.8940181454753753,0.8740578897534922,0.9029647590854315,0.8548932974736905,0.877247240599675,0.01865294694966232
18,0.23297696113586425,0.042032652767948826,0.0015961647033691407,0.0004887723315884706,0.1,"(25,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 6}",0.8999783554989054,0.9034599142087606,0.893785205766358,0.9004050277867917,0.860729946044633,0.8916739569073558,0.015785466080091633,88,0.875280909950115,0.8979314113192848,0.884839650145772,0.9063167816049043,0.9063759892489169,0.8941489484537986,0.01228437729387802
19,0.21063623428344727,0.007285185573393784,0.001994895935058594,3.8146972656249997e-07,0.1,"(25,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 7}",0.9264301333145232,0.8967033335498857,0.893785205766358,0.9017016798795969,0.8986430718115566,0.9034558142980994,0.011776663337007661,47,0.8813393837621134,0.8977048334676203,0.9018178292618635,0.902529027723334,0.9065384270736875,0.8979859002577237,0.008782424630800478
20,0.3416862487792969,0.04739490017209812,0.00139617919921875,0.0004885192845958804,0.1,"(25,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 8}",0.9211912240512006,0.8862928348909678,0.9019181517307622,0.8962205448976793,0.880334391841935,0.8971943909284337,0.014159667169488535,77,0.8931918310121532,0.8937324264761771,0.9003455923566149,0.905078720807639,0.9039407281238675,0.8992578597552903,0.004986420748285332
21,0.4274564266204834,0.11643793973517867,0.001994609832763672,3.9895058943465975e-07,0.1,"(25, 25)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 2}",0.9010778443113767,0.8760398768309509,0.8869357296479353,0.893785205766358,0.8460380321638055,0.8807782008948054,0.01922705974479434,113,0.8686885529956964,0.880725943411531,0.8707576090768302,0.8814149392544887,0.8929554600942443,0.8789085009665583,0.008692373275372306
